time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter,energy_consumption
0,0,0,0,0.34302875659369825,0.2701201296155888,10.894230052749585,0,605.8172539562189
1,0,0,0,0.40796475008751915,0.31557532506126346,11.407636275904395,0.256703111577405,644.7788500525114
2,0,0,0,0.41921425126621803,0.32344997588635266,11.491969216641865,0.26415275524214693,651.5285507597308
3,0,0,0,0.41611526251556924,0.32128068376089847,11.461955243593112,0.24420193796136944,649.6691575093416
4,0,0,0,0.41264426175581476,0.31885098322907035,11.42942678921717,0.22325173350580416,647.5865570534888
5,0,0,0,0.42581530916148025,0.3280707164130362,11.530515122224834,0.21617870746530435,655.4891854968882
6,0,0,0,0.3978278805886771,0.30847951641207394,11.302832940852122,0.20148905290670657,638.6967283532063
7,0,0,0,0.3938760353480821,0.3057132247436574,11.267947648381549,0.19090780753116426,636.3256212088493
8,0,0,0,0.4829149167062083,0.3680404416943458,11.977513298235106,0.2673885918392496,689.748950023725
9,0,0,0,0.5390565678508188,0.40733959749557314,12.424437070758447,0.3942950760642808,723.4339407104912
10,0,0,0,0.44944139868991145,0.344608979082938,11.70585096485255,0.3366954708689424,669.6648392139468
11,0,0,0,0.4684099661258524,0.3578869762880966,11.85648600575437,0.33797418095679554,681.0459796755115
12,0,0,0,0.4761947110658289,0.36333629774608023,11.918206115191621,0.342842775828442,685.7168266394973
13,0,0,0,0.49358058818644546,0.37550641173051186,12.057293132156554,0.35011785278840357,696.1483529118673
14,0,0,0,0.5085124707194635,0.3859587295036244,12.177306042503258,0.3541365795078897,705.1074824316781
15,0,0,0,0.584030533734051,0.43882137361383566,12.782564045205664,0.439941808092555,750.4183202404306
16,0,0,0,0.49032243402248354,0.3732257038157385,12.034564000131768,0.3840048401882195,694.1934604134901
17,0,0,0,0.4262516229201614,0.328376136044113,11.524206947946736,0.33884320419811925,655.7509737520968
18,0,0,0,0.5961916420998987,0.4473341494699291,12.886472502396083,0.42041835487430623,757.7149852599392
19,0,0,0,0.5848457004394343,0.439391990307604,12.798975499658182,0.4592684690822025,750.9074202636607
20,0,0,0,0.5488421172266797,0.41418948205867584,12.514729586746427,0.44050748880798485,729.3052703360079
21,0,0,0,0.6060436087411515,0.454230526118806,12.976621565099862,0.4665557093250899,763.6261652446908
22,0,0,0,0.565158413054115,0.4256108891378804,12.654300447901479,0.44760988660226936,739.0950478324689
23,0,0,0,0.629840704604832,0.47088849322338233,13.176980843350776,0.47678896174753393,777.9044227628992
24,0,0,0,0.5059457706814657,0.384162039477026,12.191484440655966,0.47569043342529793,703.5674624088795
25,0,0,0,0.5701342494121593,0.42909397458851156,12.711073995297276,0.4727310425091643,742.0805496472956
26,0,0,0,0.5774493009607126,0.4342145106724988,12.776070786795803,0.4438167919971497,746.4695805764275
27,0,0,0,0.474435772550233,0.3621050407851631,11.958808033626848,0.3444283912611178,684.6614635301398
28,0,0,0,0.5379189474770406,0.4065432632339285,12.473860986202029,0.3400585985417871,722.7513684862244
29,0,0,0,0.5743000478996971,0.43201003352978795,12.772411055801197,0.33877716345843234,744.5800287398182
30,0,0,0,0.5180393263549534,0.3926275284484675,12.330110658647605,0.34892397185835516,710.8235958129721
31,0,0,0,0.5630629950305122,0.42414409652135854,12.69833876692374,0.3284464913251633,737.8377970183074
32,0,0,0,0.5214540537035204,0.3950178375924643,12.373727653538069,0.3323782112449945,712.8724322221123
33,0,1,1,0.626675032023313,0.46867252241631907,12.611353660910797,0.260618106447051,776.0050192139878
34,0,0,0,0.43724188965535726,0.3360693227587501,11.157550161707652,0.47519009600110007,662.3451337932145
35,0,1,1,0.6140204841859569,0.4598143389301698,12.048027020463397,0.47149593333672885,768.4122905115742
36,0,0,0,0.4658606994787413,0.3561024896351189,10.937482673343686,0.5990402559126199,679.5164196872448
37,0,0,0,0.47800798914726067,0.3646055924030825,11.029582651781059,0.6852166914571497,686.8047934883564
38,0,1,1,0.6049412884729641,0.45345890193107485,11.691523019246347,0.6761872048600474,762.9647730837785
39,0,0,0,0.5323530842372075,0.40264715896604525,11.155870620307912,0.6567939936117654,719.4118505423245
40,0,0,0,0.4531495959626,0.34720471717381995,10.571871080410647,0.7241360312482484,671.88975757756
41,0,0,0,0.435368264718259,0.3347577853027813,10.442993150967435,0.7065111451530576,661.2209588309554
42,0,0,0,0.4504090806479948,0.3452863564535964,10.557586087898567,0.6656212538803349,670.2454483887968
43,0,0,0,0.4594786745674757,0.351635072197233,10.628565971564909,0.49525991818986415,675.6872047404854
44,0,0,0,0.38028284733439843,0.2961979931340789,10.046940475363561,0.5711461702452675,628.1697084006391
45,0,0,0,0.4334149529584218,0.33339046707089537,10.445082960937814,0.43926378125388377,660.0489717750531
46,0,0,0,0.48099650958979456,0.3666975567128562,10.802673068391835,0.43537756151667034,688.5979057538767
47,0,0,0,0.4442246207040038,0.3409572344928027,10.536547710386472,0.4273253491689878,666.5347724224023
48,0,0,0,0.4918408759281433,0.3742886131497003,10.895371023709094,0.28259033267029204,695.104525556886
49,0,0,0,0.3653741906398103,0.28576193344786716,9.966431475548251,0.2773765467905488,619.2245143838861
